id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6442389,Luxorious family apartment in city center!,4909610,Titus,,De Pijp - Rivierenbuurt,52.34849,4.91061,Entire home/apt,200,5,21,26-06-2019,0.34,1,18
6447564,Appartement with garden city center,33663003,Jurjen,,De Pijp - Rivierenbuurt,52.34947,4.89349,Entire home/apt,135,4,22,18-08-2019,0.37,1,0
6448609,"Light, spacious, comfy app in west!",33652371,Sharon,,Bos en Lommer,52.37596,4.84724,Entire home/apt,110,2,34,09-08-2017,0.56,1,0
6455099,Heerlijk lichte grote woonark voor gezin/collega's,13667948,Rosanne,,Zuid,52.33848,4.84811,Entire home/apt,400,4,23,08-03-2020,0.52,1,11
6455652,Canal house in Amsterdam Centrum,33714121,Max,,Centrum-Oost,52.36344,4.91094,Entire home/apt,105,2,2,09-08-2016,0.03,1,0
6456826,Warm & Hip apartment with garden | centre-west,11146267,Thomas,,De Baarsjes - Oud-West,52.36721,4.86701,Entire home/apt,400,3,31,16-07-2019,0.61,1,89
6458489,Spacious family apartment,6925066,Nina,,De Baarsjes - Oud-West,52.35935,4.85244,Entire home/apt,123,4,2,23-08-2018,0.09,1,0
6459278,Unique sunny house right in centre,26573728,Bim,,Centrum-Oost,52.36112,4.90018,Entire home/apt,210,3,21,21-07-2019,0.36,1,139
6461959,"Stylish house with big sunny garden, near Zuid As.",6485560,Jennemiek,,Zuid,52.3448,4.87207,Entire home/apt,225,4,13,02-11-2019,0.26,1,338
6462510,Private Studio in Amsterdam.,33749804,Jaime,,De Baarsjes - Oud-West,52.36851,4.85572,Entire home/apt,124,2,73,30-12-2019,1.8,1,0
6463830,Spacious & luxury houseboat in beautiful Amsterdam,4619051,Domin,,Oud-Noord,52.38959,4.94031,Entire home/apt,340,3,49,15-10-2019,0.8,3,270
