"Country or Area","Year","Value"
"Italy","1999","548226.455781843"
"Italy","1998","543114.43683801"
"Italy","1997","531865.215975473"
"Italy","1996","525294.647826192"
"Italy","1995","532419.033014347"
"Italy","1994","503474.645977881"
"Italy","1993","509407.903431504"
"Italy","1992","515451.152599314"
"Italy","1991","518908.770288091"
"Italy","1990","517745.652875795"
"Japan","2017","1289630.58219042"
"Japan","2016","1305751.32761888"
"Japan","2015","1321466.53434942"
"Japan","2014","1360070.64932065"
"Japan","2013","1408057.25066147"
"Japan","2012","1396605.09931542"
"Japan","2011","1353795.03252237"
"Japan","2010","1302731.54675151"
"Japan","2009","1248598.69503036"
"Japan","2008","1321398.22604267"
"Japan","2007","1393442.08567374"
"Japan","2006","1357394.99077929"
"Japan","2005","1378956.84801415"
"Japan","2004","1371761.54288621"
"Japan","2003","1379176.14282756"
"Japan","2002","1373197.99964993"
"Japan","2001","1349407.0103079"
"Japan","2000","1374846.58796181"
"Japan","1999","1354486.37881734"
"Japan","1998","1330890.58781029"
"Japan","1997","1379442.88059068"
"Japan","1996","1387110.93623408"
"Japan","1995","1374496.13806979"
"Japan","1994","1353408.35845562"
"Japan","1993","1289062.30064714"
"Japan","1992","1296545.97263701"
"Japan","1991","1283840.34499133"
"Japan","1990","1270003.62184288"
"Latvia","2017","11306.1960422948"
"Latvia","2016","11268.7231351662"
"Latvia","2015","11255.9244124257"
"Latvia","2014","11173.4935070211"
"Latvia","2013","11259.7204275391"
"Latvia","2012","11327.4631074527"
"Latvia","2011","11489.3957118618"
"Latvia","2010","12279.2337581606"
"Latvia","2009","11176.1563558724"
"Latvia","2008","11873.9919828885"
"Latvia","2007","12339.4154247607"
"Latvia","2006","11883.7859385879"
"Latvia","2005","11387.9301957835"
"Latvia","2004","11206.7878482799"
"Latvia","2003","11221.6179957607"
"Latvia","2002","11043.4422473678"
"Latvia","2001","11062.1590288151"
"Latvia","2000","10487.7599513279"
"Latvia","1999","11102.3536496923"
"Latvia","1998","11883.5866286582"
"Latvia","1997","12382.5590835012"
"Latvia","1996","12934.4459590436"
"Latvia","1995","12893.2871962247"
"Latvia","1994","14269.2561571861"
"Latvia","1993","16199.6508187135"
"Latvia","1992","19616.5149269358"
"Latvia","1991","24365.5408755431"
"Latvia","1990","26259.459988556"
"Liechtenstein","2017","193.623478340701"
"Liechtenstein","2016","187.683610491231"
"Liechtenstein","2015","197.789480173407"
"Liechtenstein","2014","200.50015307147"
"Liechtenstein","2013","232.132044574926"
"Liechtenstein","2012","225.553945635826"
"Liechtenstein","2011","216.364794637171"
"Liechtenstein","2010","229.463596988059"
"Liechtenstein","2009","244.354401142658"
"Liechtenstein","2008","259.005130633659"
"Liechtenstein","2007","239.003372143331"
"Liechtenstein","2006","268.301474934943"
"Liechtenstein","2005","264.981006095206"
"Liechtenstein","2004","264.47482475149"
"Liechtenstein","2003","263.811469653146"
"Liechtenstein","2002","253.552997586812"
"Liechtenstein","2001","247.27980293517"
"Liechtenstein","2000","247.681183210015"
"Liechtenstein","1999","257.07741205071"
"Liechtenstein","1998","260.06406212482"
"Liechtenstein","1997","249.082167562542"
"Liechtenstein","1996","236.501812799325"
"Liechtenstein","1995","234.102584444613"
"Liechtenstein","1994","230.279455537145"
"Liechtenstein","1993","243.83612726854"
"Liechtenstein","1992","236.687517569705"
"Liechtenstein","1991","236.502812258334"
"Liechtenstein","1990","228.993198432669"
"Lithuania","2017","20705.9432184475"
"Lithuania","2016","20510.1492387864"
"Lithuania","2015","20478.649998754"
"Lithuania","2014","20215.203823276"
"Lithuania","2013","20258.1734046362"
"Lithuania","2012","21502.613518202"
"Lithuania","2011","21574.9735191209"
"Lithuania","2010","21008.5851516396"
"Lithuania","2009","20152.1687989344"
"Lithuania","2008","24477.2651154862"
"Lithuania","2007","25388.9179484273"
"Lithuania","2006","23251.7289616976"
"Lithuania","2005","22965.8702824593"
"Lithuania","2004","21759.9414139114"
"Lithuania","2003","20894.8007603432"
"Lithuania","2002","20748.5233525823"
"Lithuania","2001","20359.3235953347"
"Lithuania","2000","19603.0015058939"
"Lithuania","1999","21139.4443483081"
"Lithuania","1998","23957.1263165669"
"Lithuania","1997","23011.2717214182"
"Lithuania","1996","23453.5334838375"
"Lithuania","1995","22401.2207060946"
"Lithuania","1994","23419.2586437086"
"Lithuania","1993","24882.7818075345"
"Lithuania","1992","30968.8858338918"
"Lithuania","1991","50247.1689331745"
"Lithuania","1990","48241.5065722593"
"Luxembourg","2017","10236.084411232"
"Luxembourg","2016","10051.9553539786"
"Luxembourg","2015","10294.9394951702"
"Luxembourg","2014","10786.8802544006"
"Luxembourg","2013","11238.6131640197"
"Luxembourg","2012","11781.2983566946"
"Luxembourg","2011","12061.9744506168"
"Luxembourg","2010","12180.0779174682"
"Luxembourg","2009","11607.67339497"
"Luxembourg","2008","12153.8820915163"
"Luxembourg","2007","12267.3276676162"
"Luxembourg","2006","12852.4530245154"
"Luxembourg","2005","13024.7639650513"
"Luxembourg","2004","12783.0805322111"
"Luxembourg","2003","11380.8373647433"
"Luxembourg","2002","10941.8894966386"
"Luxembourg","2001","10165.4285318393"
"Luxembourg","2000","9678.13891799322"
"Luxembourg","1999","9092.591027257"
"Luxembourg","1998","8626.67983783884"
"Luxembourg","1997","9504.70675522301"
"Luxembourg","1996","10154.5562847868"
"Luxembourg","1995","10093.178059854"
"Luxembourg","1994","12466.2096912714"
"Luxembourg","1993","13287.4743506122"
